surface,target,subset,n,var_y,noise_ref,noise_ret,r2max_ref,r2max_ref_ret,var_far,r2max_emp
ocean,r10,all,6255477,0.3774291721838087,0.0036090998883394447,0.19871934153263326,0.9904376763792339,0.4639300395083442,0.24899964641193695,0.3402745077408228
ocean,r10,near<10km,2544035,0.5983030046941873,0.005937255642321704,0.19848290180029235,0.99007650706124,0.6583333932158673,,
ocean,r05,all,9271499,0.5213023427505289,0.004998372532255178,0.2017783029091817,0.9904117589307533,0.6033459693458723,0.24919169558454526,0.521982398410596
ocean,r05,near<10km,5558366,0.7073719753377173,0.007170971216218701,0.20375161243704762,0.9898625172239894,0.7018222505173937,,
ocean,r15,all,4592955,0.3030270345026874,0.0031756044859646585,0.19864919270022072,0.9895203921617874,0.33397098540263914,0.24874454503520116,0.1791341474089001
ocean,r15,near<10km,1105580,0.5448827776430908,0.005702349162495931,0.1968392088970894,0.9895347230698653,0.628284162447406,,
land,r10,all,4833910,0.8365988097465423,0.004723248484016414,0.26245641298627154,0.9943542251925419,0.6806358575250266,0.35788583284080494,0.5722133133930339
land,r10,near<10km,856917,2.974831800363964,0.01393513206213341,0.3199932490181646,0.9953156571539848,0.8877488196006771,,
land,r05,all,5052678,1.003479805095904,0.0047603834655170684,0.2676925098513805,0.9952561242973275,0.728491901946289,0.35740496464762767,0.643834422145177
land,r05,near<10km,1152099,3.1401530079833986,0.012666480374091977,0.331569974317166,0.9959662856103224,0.8903758976661057,,
land,r15,all,4463809,0.6627778658287563,0.0045282902302914005,0.25663650341061,0.9931677105350688,0.6059542614412243,0.3579120264814805,0.4599819261707886
land,r15,near<10km,512386,2.666634875011072,0.0143251487249784,0.31126225991185935,0.9946280051839047,0.8779032661396938,,
