variable,label,group,n_near,n_far,near_mean,far_mean,far_std,effect_raw,effect_z,ci95_z,pearson_r_cld_dist
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),shrubland,32192,145897,0.03179384768009186,-0.0034868193324655294,0.1586136668920517,0.03528066724538803,0.2224314457681577,0.017407135499305126,-0.04692271466590876
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),grassland,62276,170977,0.04769599065184593,-0.004888918250799179,0.18890143930912018,0.05258490890264511,0.27837219819481973,0.01282667460679259,-0.058027456412134006
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),cropland,31530,77770,0.021539151668548584,-0.005977774504572153,0.19990482926368713,0.02751692570745945,0.13765012985835814,0.014861989877704599,-0.042412433942670406
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),barren,22370,116513,-0.0757988840341568,-0.008624875918030739,0.18156912922859192,-0.06717400997877121,-0.36996382735415595,0.039839919720706725,0.07861309211622232
dk2_wco2,Δvar($\mathcal{l}′$) WCO$_2$ (obs-ref),urban,3555,8677,-0.9200275540351868,0.01837656833231449,1.0898929834365845,-0.9384041428565979,-0.8610057658116844,0.04402740790861765,0.2597596715537443
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),ocean,865950,799745,0.0018578891176730394,-0.00016987604612950236,0.08574845641851425,0.0020277651492506266,0.023647832671805445,0.002813993917175683,-0.009055505037731892
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),forest,10309,32433,0.003272291272878647,0.006982663180679083,0.12596525251865387,-0.003710371907800436,-0.029455519150020967,0.025164524625342393,-0.001237512570571266
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),savanna,26065,69023,0.005552379880100489,-0.0018632857827469707,0.10828512161970139,0.007415665779262781,0.06848277647326921,0.015243658043126143,-0.018658049356373836
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),shrubland,32192,145897,0.00397806242108345,-0.001265315106138587,0.09232804924249649,0.005243377760052681,0.056790734809972286,0.014393001999425276,-0.011569248619101953
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),grassland,62276,170977,0.0024097186978906393,-0.0022584740072488785,0.08162910491228104,0.0046681929379701614,0.05718784914996459,0.011197874457389978,-0.016050279279349676
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),cropland,31530,77770,0.0003701907698996365,-0.0018900084542110562,0.10156815499067307,0.0022601992823183537,0.022253030809961116,0.014774767138535561,-0.00893682462004682
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),barren,22370,116513,-0.0022850320674479008,-0.00048362091183662415,0.08701445162296295,-0.0018014111556112766,-0.020702436457530782,0.018687232621024855,0.00983728986330767
dk1_sco2,Δ$\langle \mathcal{l}′ \rangle$ SCO$_2$ (obs-ref),urban,3555,8677,-0.11012914776802063,0.0014317305758595467,0.18536512553691864,-0.1115608811378479,-0.6018439596699037,0.03915710889974897,0.2089443086634264
dk2_sco2,Δvar($\mathcal{l}′$) SCO$_2$ (obs-ref),ocean,865950,799745,0.00022087966499384493,0.00041797335143201053,0.6817808151245117,-0.0001970936864381656,-0.0002890865833503557,0.0028108896531516166,-0.00032948828366780145
dk2_sco2,Δvar($\mathcal{l}′$) SCO$_2$ (obs-ref),forest,10309,32433,-0.012848686426877975,0.02405068650841713,0.8553892970085144,-0.036899372935295105,-0.043137520032504935,0.021563845654927992,0.004681905519064409
dk2_sco2,Δvar($\mathcal{l}′$) SCO$_2$ (obs-ref),savanna,26065,69023,-0.0052616652101278305,-0.005932904779911041,0.7815204858779907,0.0006712395697832108,0.0008588892830225863,0.013949194297315885,-0.00030904490459187386
dk2_sco2,Δvar($\mathcal{l}′$) SCO$_2$ (obs-ref),shrubland,32192,145897,0.006232456304132938,-0.003756788559257984,0.7435263991355896,0.009989244863390923,0.013434956546269559,0.013466659419768785,-0.001875300488357679
dk2_sco2,Δvar($\mathcal{l}′$) SCO$_2$ (obs-ref),grassland,62276,170977,-0.007528476882725954,-0.005870785564184189,0.6619940400123596,-0.0016576913185417652,-0.002504087980173984,0.00999679824735556,0.000320981595928563
dk2_sco2,Δvar($\mathcal{l}′$) SCO$_2$ (obs-ref),cropland,31530,77770,-0.018362855538725853,-0.008978212252259254,0.7187653183937073,-0.009384643286466599,-0.013056616737489988,0.013812614459210603,0.0030435433163272527
dk2_sco2,Δvar($\mathcal{l}′$) SCO$_2$ (obs-ref),barren,22370,116513,-0.034266162663698196,0.003325984114781022,0.7333988547325134,-0.037592146545648575,-0.05125743829987197,0.016334818323190475,0.01881883549479334
dk2_sco2,Δvar($\mathcal{l}′$) SCO$_2$ (obs-ref),urban,3555,8677,-0.4685222804546356,-0.0032781583722680807,1.3531454801559448,-0.4652441143989563,-0.34382416467543364,0.032067948960387394,0.1444764736522893
dexp_o2a,Δexp-int O$_2$A (obs-ref),ocean,865950,799745,-0.00231058313511312,-0.00025913529680110514,0.004818829707801342,-0.0020514477510005236,-0.4257149298468414,0.005064697182816346,0.08128045226108573
dexp_o2a,Δexp-int O$_2$A (obs-ref),forest,10309,32433,0.0007631058688275516,-0.001040132250636816,0.016644423827528954,0.0018032381776720285,0.10833887651247937,0.04035804570537719,-0.02509013571665241
dexp_o2a,Δexp-int O$_2$A (obs-ref),savanna,26065,69023,0.00262488704174757,-0.00010234470391878858,0.011917750351130962,0.0027272317092865705,0.22883779479637814,0.02948140161318014,-0.038763945222182884
dexp_o2a,Δexp-int O$_2$A (obs-ref),shrubland,32192,145897,-0.00044283230090513825,-0.00021113113325554878,0.01508181169629097,-0.00023170116764958948,-0.015362953225743506,0.017554872655701766,0.016739006691852815
dexp_o2a,Δexp-int O$_2$A (obs-ref),grassland,62276,170977,0.0016821095487102866,-0.0005290416302159429,0.014185789041221142,0.0022111511789262295,0.15587086291083666,0.01513025341594518,-0.022278298396990536
dexp_o2a,Δexp-int O$_2$A (obs-ref),cropland,31530,77770,0.0034255196806043386,0.0019242563284933567,0.016660742461681366,0.001501263352110982,0.09010783016205856,0.017754349784139558,-0.02487387305793045
dexp_o2a,Δexp-int O$_2$A (obs-ref),barren,22370,116513,0.005054800305515528,-0.0004408949753269553,0.020076489076018333,0.005495695397257805,0.2737378720177969,0.023432983652476883,-0.06375281810185522
dexp_o2a,Δexp-int O$_2$A (obs-ref),urban,3555,8677,0.007304188795387745,-0.0014745371881872416,0.037937670946121216,0.008778725750744343,0.23139864761892792,0.0345647320464156,-0.035976899357153265
dexp_wco2,Δexp-int WCO$_2$ (obs-ref),ocean,865950,799745,-0.0025886266957968473,-0.00028363580349832773,0.005223806481808424,-0.002304990775883198,-0.4412473516984564,0.005202215761317553,0.08341233412201891
dexp_wco2,Δexp-int WCO$_2$ (obs-ref),forest,10309,32433,-0.006999568548053503,-0.004352451302111149,0.015979429706931114,-0.002647117245942354,-0.16565780472091324,0.03543400714614511,0.04729507861257707
dexp_wco2,Δexp-int WCO$_2$ (obs-ref),savanna,26065,69023,-0.0018033781088888645,-0.00023112389317248017,0.015340462327003479,-0.0015722542302682996,-0.1024906679312197,0.022624738559101625,0.02246983178594888
dexp_wco2,Δexp-int WCO$_2$ (obs-ref),shrubland,32192,145897,-0.0010316870175302029,0.0004758586292155087,0.02012462727725506,-0.0015075455885380507,-0.07491048493811785,0.01719771300887135,0.021020163280146237
dexp_wco2,Δexp-int WCO$_2$ (obs-ref),grassland,62276,170977,-0.0002595246769487858,0.0009441479342058301,0.01937689445912838,-0.0012036726111546159,-0.06211896409373125,0.013392856430486487,0.018023926369386187
dexp_wco2,Δexp-int WCO$_2$ (obs-ref),cropland,31530,77770,0.0025563626550137997,0.0014624798204749823,0.020086226984858513,0.0010938828345388174,0.05445934845620399,0.01719517291519589,-0.012674500690330144
dexp_wco2,Δexp-int WCO$_2$ (obs-ref),barren,22370,116513,0.0032273356337100267,9.31238682824187e-05,0.025098787620663643,0.0031342117581516504,0.12487502605788327,0.020958774350716216,-0.031584369589255194
dexp_wco2,Δexp-int WCO$_2$ (obs-ref),urban,3555,8677,0.017513269558548927,-0.001622906420379877,0.03279826045036316,0.019136175513267517,0.5834509285097049,0.041022113297765526,-0.15739372238553023
dexp_sco2,Δexp-int SCO$_2$ (obs-ref),ocean,865950,799745,-0.002402495127171278,-0.0002230007667094469,0.004711932502686977,-0.002179494360461831,-0.4625478737691967,0.005183575773710968,0.08714407083947162
dexp_sco2,Δexp-int SCO$_2$ (obs-ref),forest,10309,32433,-0.009253084659576416,-0.004051939118653536,0.01256617158651352,-0.00520114554092288,-0.4139005667012332,0.044605961287273885,0.08808762039375097
dexp_sco2,Δexp-int SCO$_2$ (obs-ref),savanna,26065,69023,-0.004666164517402649,-0.000796907115727663,0.014001453295350075,-0.003869257401674986,-0.27634684200674925,0.025114236142660083,0.05383062674641532
dexp_sco2,Δexp-int SCO$_2$ (obs-ref),shrubland,32192,145897,-0.0020054858177900314,0.00046791808563284576,0.021170450374484062,-0.0024734039325267076,-0.11683284430773411,0.01680289766693921,0.030285098858382393
dexp_sco2,Δexp-int SCO$_2$ (obs-ref),grassland,62276,170977,-0.0014000078663229942,0.0007398680900223553,0.020178673788905144,-0.0021398758981376886,-0.10604640922012716,0.013201840546819204,0.03035577710078246
dexp_sco2,Δexp-int SCO$_2$ (obs-ref),cropland,31530,77770,0.00131209846585989,0.0010953127639368176,0.02110396698117256,0.00021678570192307234,0.010272272607158309,0.017213035120765857,0.0025434813367023663
dexp_sco2,Δexp-int SCO$_2$ (obs-ref),barren,22370,116513,0.0020714167039841413,0.000501413713209331,0.02567453309893608,0.0015700029907748103,0.061150206109877384,0.02030109045619131,-0.018848380904530258
dexp_sco2,Δexp-int SCO$_2$ (obs-ref),urban,3555,8677,0.019686473533511162,9.650454012444243e-05,0.028721623122692108,0.019589969888329506,0.6820634685110135,0.04235758265798968,-0.21277332923233708
