variable,label,group,n_near,n_far,near_mean,far_mean,far_std,effect_raw,effect_z,ci95_z,pearson_r_cld_dist
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),ocean,3615698,949841,-0.002401621313765645,-7.98373221186921e-05,0.047017332166433334,-0.002321783918887377,-0.04938144747704225,0.0022309303526048285,0.0192705727552027
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),forest,9788,39917,0.0007131271995604038,-0.00033214071299880743,0.05787733197212219,0.0010452679125592113,0.018060056967772565,0.02116552238888108,-0.002207504814617171
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),savanna,22938,87368,0.0028503993526101112,1.4708198250446003e-05,0.05158064514398575,0.0028356912080198526,0.05497587709700237,0.016989666529299206,-0.01419832087610082
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),shrubland,27156,165527,0.002898441394791007,-2.967009822896216e-05,0.049523234367370605,0.002928111469373107,0.05912601442086652,0.015209152254112294,-0.016644889738916965
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),grassland,50618,221488,0.00131334422621876,0.0001931287260958925,0.04920271784067154,0.0011202155146747828,0.0227673503382937,0.011469116124891484,0.0022103874961222993
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),cropland,24740,111588,0.001621421193704009,0.00038814276922494173,0.049604084342718124,0.0012332784244790673,0.02486243705172057,0.016226623991447555,0.008905689696309203
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),barren,36345,269208,0.0018142648041248322,-1.5204050214379095e-05,0.05248776450753212,0.0018294688779860735,0.03485514948390573,0.013786246763298855,-0.0014593998424557552
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),wetland,1170,990,-0.03383955359458923,0.005806771572679281,0.07901181280612946,-0.03964632377028465,-0.5017771692894133,0.09921208947545004,0.13334724333156142
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),urban,1794,13996,-0.0027544102631509304,-0.002877273363992572,0.08634557574987411,0.00012286310084164143,0.0014229229439334714,0.040642012311647484,0.15376985990459244
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),snow_ice,528,240,,,,,,,
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),ocean,3615698,949841,-0.001100050052627921,-0.00013252519420348108,0.31621789932250977,-0.0009675248293206096,-0.003059677619114893,0.0022205571273916846,0.0012250691864720844
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),forest,9788,39917,-0.011622189544141293,0.00024593822308816016,0.36370569467544556,-0.0118681276217103,-0.03263112949688863,0.01937724033729932,0.007255152187976456
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),savanna,22938,87368,-0.0015746650751680136,-0.00011924299906240776,0.33384349942207336,-0.0014554220251739025,-0.004359593724884348,0.015796883565768003,-0.0007951145926585037
