variable,label,group,n_near,n_far,near_mean,far_mean,far_std,effect_raw,effect_z,ci95_z,pearson_r_cld_dist
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),ocean,1323704,150088,-0.004789802711457014,-4.6612323785666376e-05,0.04154036194086075,-0.004743190482258797,-0.11418269511015518,0.005396924516155907,0.03975734034556693
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),forest,4508,7339,0.0009682504460215569,0.0019158887444064021,0.06257673352956772,-0.0009476382983848453,-0.015143620399059069,0.03545574888494419,0.015235469558677482
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),savanna,9446,17503,0.0008773863082751632,0.0005663127521984279,0.04988889396190643,0.00031107355607673526,0.006235326770608727,0.03043448258050285,-0.0006817296150391247
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),shrubland,9296,18548,0.005507782567292452,0.0010026904055848718,0.05022406578063965,0.004505092278122902,0.08969987212503858,0.02928770948425743,-0.030919712603868044
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),grassland,18792,48614,0.0006465043989010155,0.0010324812028557062,0.047689516097307205,-0.0003859768039546907,-0.008093535760923457,0.020446105354606475,0.01822870070214852
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),cropland,10706,33170,0.0006158394971862435,0.0001252698857570067,0.04239305853843689,0.0004905696259811521,0.011571932832738713,0.02901040440078033,0.03266747252696551
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),barren,23384,150866,0.004216507077217102,0.0002570298674982041,0.05257672443985939,0.003959477413445711,0.07530856012102492,0.01685632281215722,-0.021776834538571502
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),urban,560,5279,-0.001526347710750997,-0.008776187896728516,0.07400919497013092,0.007249840069562197,0.09795863976750634,0.08805777126861382,0.2013163425467441
dk1_o2a,Δ$\langle \mathcal{l}′ \rangle$ O$_2$A (obs-ref),snow_ice,411,46,,,,,,,
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),ocean,1323704,150088,-0.0030500399880111217,-3.451021621003747e-05,0.27477020025253296,-0.003015529830008745,-0.010974733894859279,0.0053645334715537,0.004545902698795471
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),forest,4508,7339,-0.01659485325217247,0.00662769190967083,0.4061184823513031,-0.0232225451618433,-0.05718169985121532,0.03214046957068923,0.019649132925114637
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),savanna,9446,17503,-0.009742364287376404,0.003775212448090315,0.30658143758773804,-0.013517577201128006,-0.0440913099876098,0.02886570594369722,0.010480851687950543
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),shrubland,9296,18548,0.02323909103870392,0.008326182141900063,0.3185948133468628,0.014912908896803856,0.046808385673773566,0.027666275181314443,-0.018808290864026085
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),grassland,18792,48614,-0.0016105297254398465,0.006138441152870655,0.31099045276641846,-0.00774897076189518,-0.024917069617295767,0.018517325389684515,0.018221724737087528
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),cropland,10706,33170,-0.004163492936640978,4.695596726378426e-05,0.2656902074813843,-0.004210448823869228,-0.01584721117041634,0.027136431426220995,0.026266174834363883
dk2_o2a,Δvar($\mathcal{l}′$) O$_2$A (obs-ref),barren,23384,150866,0.012309442274272442,-0.0003979419998358935,0.3569743037223816,0.012707384303212166,0.035597476262870395,0.015306399580650304,-0.00903766986442429
